銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高,移動平均(5),移動平均(25),移動平均(75)
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:0:0,39570,39605,39560,39600,959,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:3:0,39600,39610,39575,39580,1202,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:6:0,39580,39590,39550,39550,921,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:9:0,39550,39590,39550,39585,628,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:12:0,39590,39600,39570,39585,639,39580,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:15:0,39585,39590,39575,39580,382,39576,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:18:0,39585,39585,39565,39575,261,39575,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:21:0,39575,39600,39555,39595,681,39584,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:24:0,39595,39600,39585,39590,390,39585,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:27:0,39590,39610,39590,39605,287,39589,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:30:0,39605,39630,39605,39625,1002,39598,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:33:0,39625,39635,39615,39630,437,39609,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:36:0,39635,39640,39615,39630,777,39616,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:39:0,39630,39640,39625,39635,403,39625,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:42:0,39635,39645,39625,39625,531,39629,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:45:0,39625,39650,39615,39645,564,39633,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:48:0,39640,39650,39635,39640,310,39635,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:51:0,39640,39645,39635,39635,186,39636,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:54:0,39635,39660,39635,39655,779,39640,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:57:0,39655,39675,39645,39655,1130,39646,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:0:0,39655,39670,39655,39665,495,39650,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:3:0,39665,39665,39650,39650,245,39652,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:6:0,39650,39660,39640,39645,514,39654,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:9:0,39650,39670,39645,39670,558,39657,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:12:0,39670,39695,39665,39695,1241,39665,39621.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:15:0,39700,39705,39685,39700,1122,39672,39625.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:18:0,39695,39700,39690,39695,427,39681,39630.4,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:21:0,39690,39700,39680,39695,448,39691,39636.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:24:0,39695,39700,39680,39680,433,39693,39640,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:27:0,39685,39695,39675,39680,520,39690,39643.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:30:0,39680,39710,39670,39705,698,39691,39648.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:33:0,39710,39730,39705,39725,1293,39697,39654.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:36:0,39725,39745,39720,39720,1431,39702,39659.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:39:0,39725,39745,39715,39745,605,39715,39666,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:42:0,39735,39740,39715,39735,408,39726,39671.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:45:0,39725,39735,39720,39735,421,39732,39675.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:48:0,39730,39745,39730,39735,225,39734,39679.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:51:0,39735,39745,39730,39740,349,39738,39684.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:54:0,39740,39760,39740,39745,1251,39738,39688.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:57:0,39745,39750,39735,39740,400,39739,39693.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:0:0,39745,39755,39730,39745,386,39741,39697.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:3:0,39745,39750,39705,39715,412,39737,39700.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:6:0,39720,39745,39670,39745,2964,39738,39704.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:9:0,39750,39755,39695,39735,2357,39736,39707.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:12:0,39735,39760,39730,39755,659,39739,39711.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:15:0,39750,39755,39725,39750,428,39740,39715.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:18:0,39750,39775,39750,39765,766,39750,39719.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:21:0,39765,39795,39765,39795,1140,39760,39725.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:24:0,39795,39795,39780,39790,853,39771,39730.6,NaN
