銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高,移動平均(5),移動平均(25),移動平均(75)
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/13,0:0:0,36560,36650,36180,36255,452,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/17,0:0:0,36305,36450,35550,35970,2508,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/18,0:0:0,35515,36520,35515,36160,2303,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/19,0:0:0,36185,37150,36030,36880,3207,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/20,0:0:0,36845,37730,36775,37525,3894,36558,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/24,0:0:0,37750,38410,37655,37795,5555,36866,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/25,0:0:0,37875,38065,37460,37690,3078,37210,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/26,0:0:0,37710,38705,37710,38675,4542,37713,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/27,0:0:0,38780,39880,38735,39880,9131,38313,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/9/30,0:0:0,38255,38445,37280,37935,10281,38395,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/1,0:0:0,37935,38770,37835,38760,5005,38588,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/2,0:0:0,38620,38630,37585,37825,6068,38615,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/3,0:0:0,37840,39010,37770,38600,6282,38600,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/4,0:0:0,38500,38780,38310,38535,3782,38331,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/7,0:0:0,38555,39790,38545,39370,6602,38618,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/8,0:0:0,39285,39295,38695,38965,4192,38659,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/9,0:0:0,38915,39495,38785,39280,3152,38950,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/10,0:0:0,39170,39685,39140,39295,6498,39089,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/11,0:0:0,39275,39675,38880,39610,10992,39304,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/15,0:0:0,39465,40285,39390,39885,14464,39407,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/16,0:0:0,39845,39910,38825,39225,11440,39459,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/17,0:0:0,39055,39500,38765,39075,6601,39418,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/18,0:0:0,39140,39420,38905,39010,7927,39361,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/21,0:0:0,39080,39275,38780,39045,7751,39248,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/22,0:0:0,39065,39195,38190,38440,12373,38959,38387.4,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/23,0:0:0,38505,38580,37980,38060,11806,38726,38459.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/24,0:0:0,38155,38330,37625,38170,14454,38545,38547.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/25,0:0:0,38225,38285,37715,38000,9744,38343,38621.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/28,0:0:0,37950,38755,37505,38650,23881,38264,38692,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/29,0:0:0,38695,38950,38255,38950,13507,38366,38749,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/30,0:0:0,39050,39470,38880,39470,15777,38648,38816,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/10/31,0:0:0,39505,39705,38830,39050,9199,38824,38870.4,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/11/1,0:0:0,38820,38925,37945,38120,11298,38848,38848.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2024/11/5,0:0:0,38070,38770,37995,38645,8017,38847,38798.8,NaN
